,n,m,i,t,prob_size
0,10,14,0,0.43731212615966797,140
1,10,14,1,1.0430047512054443,140
2,10,14,2,1.473449468612671,140
3,10,14,3,3.3537824153900146,140
4,10,14,4,4.8182291984558105,140
5,10,14,5,0.856499433517456,140
6,10,14,6,1.0522425174713135,140
7,10,14,7,2.373690366744995,140
8,10,14,8,2.560347080230713,140
9,10,14,9,1.0198979377746582,140
10,10,14,10,0.41313672065734863,140
11,10,14,11,1.0681860446929932,140
12,10,14,12,20.42479681968689,140
13,10,14,13,2.868011713027954,140
14,10,14,14,0.9098420143127441,140
15,10,14,15,1.8046979904174805,140
16,10,14,16,0.8378231525421143,140
17,10,14,17,35.77011799812317,140
18,10,14,18,1.0108356475830078,140
19,10,14,19,0.7827658653259277,140
20,10,14,20,1.4084174633026123,140
21,10,14,21,8.621549129486084,140
22,10,14,22,2.2555041313171387,140
23,10,14,23,0.6762754917144775,140
24,10,14,24,1.5845327377319336,140
25,10,15,0,1.0203862190246582,150
26,10,15,1,3.581156015396118,150
27,10,15,2,1.305128574371338,150
28,10,15,3,0.9808926582336426,150
29,10,15,4,2.948983907699585,150
30,10,15,5,1.506840467453003,150
31,10,15,6,10.881057739257812,150
32,10,15,7,8.47830319404602,150
33,10,15,8,1.540219783782959,150
34,10,15,9,1.9399197101593018,150
35,10,15,10,3.6012303829193115,150
36,10,15,11,0.6990542411804199,150
37,10,15,12,1.5507698059082031,150
38,10,15,13,0.6976199150085449,150
39,10,15,14,1.369905710220337,150
40,10,15,15,3.787832498550415,150
41,10,15,16,1.1500959396362305,150
42,10,15,17,1.3175575733184814,150
43,10,15,18,0.7563209533691406,150
44,10,15,19,0.5821399688720703,150
45,10,15,20,2.2440314292907715,150
46,10,15,21,0.8252379894256592,150
47,10,15,22,28.23169708251953,150
48,10,15,23,2.406376361846924,150
49,10,15,24,1.7568562030792236,150
50,10,16,0,3.4354498386383057,160
51,10,16,1,1.0997366905212402,160
52,10,16,2,5.800245761871338,160
53,10,16,3,3.4135639667510986,160
54,10,16,4,3.0668771266937256,160
55,10,16,5,1.1585955619812012,160
56,10,16,6,0.9755725860595703,160
57,10,16,7,6.3612425327301025,160
58,10,16,8,0.7144820690155029,160
59,10,16,9,3.1477925777435303,160
60,10,16,10,0.4258573055267334,160
61,10,16,11,1.3438382148742676,160
62,10,16,12,10.31746530532837,160
63,10,16,13,6.227539300918579,160
64,10,16,14,3.854464292526245,160
65,10,16,15,5.835934162139893,160
66,10,16,16,71.96357822418213,160
67,10,16,17,1.0149731636047363,160
68,10,16,18,1.096949577331543,160
69,10,16,19,2.204979658126831,160
70,10,16,20,14.394482135772705,160
71,10,16,21,8.669860601425171,160
72,10,16,22,3.7119131088256836,160
73,10,16,23,1.403071403503418,160
74,10,16,24,0.6977143287658691,160
75,10,17,0,1.6236763000488281,170
76,10,17,1,2.3234286308288574,170
77,10,17,2,4.442829370498657,170
78,10,17,3,1.2150275707244873,170
79,10,17,4,2.8946430683135986,170
80,10,17,5,1.7818989753723145,170
81,10,17,6,1.6185991764068604,170
82,10,17,7,0.8682858943939209,170
83,10,17,8,59.57831692695618,170
84,10,17,9,1.9858012199401855,170
85,10,17,10,0.5799565315246582,170
86,10,17,11,3.1378068923950195,170
87,10,17,12,1.1161527633666992,170
88,10,17,13,3.899716854095459,170
89,10,17,14,1.531663179397583,170
90,10,17,15,8.090272188186646,170
91,10,17,16,6.927957057952881,170
92,10,17,17,6.88845157623291,170
93,10,17,18,84.93638181686401,170
94,10,17,19,0.9320709705352783,170
95,10,17,20,5.157478332519531,170
96,10,17,21,1.3752024173736572,170
97,10,17,22,2.410175323486328,170
98,10,17,23,3.2944955825805664,170
99,10,17,24,2.56467866897583,170
100,10,18,0,29.294283866882324,180
101,10,18,1,1.6491987705230713,180
102,10,18,2,1.2976720333099365,180
103,10,18,3,25.35434317588806,180
104,10,18,4,1.2679665088653564,180
105,10,18,5,17.645190715789795,180
106,10,18,6,1.4792406558990479,180
107,10,18,7,91.25932431221008,180
108,10,18,8,1.0130691528320312,180
109,10,18,9,4.651325941085815,180
110,10,18,10,1.8631958961486816,180
111,10,18,11,298.57639479637146,180
112,10,18,12,4.146782875061035,180
113,10,18,13,5.003069639205933,180
114,10,18,14,22.86957049369812,180
115,10,18,15,3.1354868412017822,180
116,10,18,16,4.063308238983154,180
117,10,18,17,28.022839784622192,180
118,10,18,18,1.1324148178100586,180
119,10,18,19,3.2406997680664062,180
120,10,18,20,21.785587072372437,180
121,10,18,21,1.763517141342163,180
122,10,18,22,6.4031922817230225,180
123,10,18,23,2.0991528034210205,180
124,10,18,24,30.156026601791382,180
125,10,19,0,4.275142192840576,190
126,10,19,1,3.8526017665863037,190
127,10,19,2,73.9038028717041,190
128,10,19,3,29.181824922561646,190
129,10,19,4,1.8077692985534668,190
130,10,19,5,1.4173846244812012,190
131,10,19,6,181.30978655815125,190
132,10,19,7,2.825819969177246,190
133,10,19,8,84.60619831085205,190
134,10,19,9,4.877752780914307,190
135,10,19,10,5.713066816329956,190
136,10,19,11,1.107586145401001,190
137,10,19,12,19.0436954498291,190
138,10,19,13,0.9423344135284424,190
139,10,19,14,4.862894058227539,190
140,10,19,15,1.065310001373291,190
141,10,19,16,10.557426452636719,190
142,10,19,17,33.43856334686279,190
143,10,19,18,11.401170253753662,190
144,10,19,19,0.27648472785949707,190
145,10,19,20,2.851130247116089,190
146,10,19,21,4.398795127868652,190
147,10,19,22,300.0658857822418,190
148,10,19,23,4.892790079116821,190
149,10,19,24,3.9241983890533447,190
150,14,10,0,3.686289072036743,140
151,14,10,1,3.6847891807556152,140
152,14,10,2,13.971744060516357,140
153,14,10,3,1.4596807956695557,140
154,14,10,4,3.800670623779297,140
155,14,10,5,3.6049141883850098,140
156,14,10,6,4.186591625213623,140
157,14,10,7,0.9635064601898193,140
158,14,10,8,4.802263259887695,140
159,14,10,9,4.014955520629883,140
160,14,10,10,2.612569808959961,140
161,14,10,11,4.472100019454956,140
162,14,10,12,5.2317914962768555,140
163,14,10,13,17.973002195358276,140
164,14,10,14,2.3177433013916016,140
165,14,10,15,16.63926601409912,140
166,14,10,16,5.958642482757568,140
167,14,10,17,4.595227003097534,140
168,14,10,18,300.06057476997375,140
169,11,11,0,1.5859827995300293,121
170,11,11,1,4.428904294967651,121
171,11,11,2,2.9990158081054688,121
172,11,11,3,2.379517078399658,121
173,11,11,4,1.4028847217559814,121
174,11,11,5,1.3099546432495117,121
175,11,11,6,1.4177865982055664,121
176,11,11,7,1.590806484222412,121
177,11,11,8,0.9356033802032471,121
178,11,11,9,1.0271265506744385,121
179,11,11,10,1.6004111766815186,121
180,11,11,11,3.4587135314941406,121
181,11,11,12,1.2133960723876953,121
182,11,11,13,1.1715846061706543,121
183,11,11,14,0.7815110683441162,121
184,11,11,15,4.068113088607788,121
185,11,11,16,1.1779751777648926,121
186,11,11,17,2.6136510372161865,121
187,11,11,18,2.414879083633423,121
188,11,11,19,1.030735731124878,121
189,11,11,20,1.4254686832427979,121
190,11,11,21,1.6991372108459473,121
191,11,11,22,1.7654082775115967,121
192,11,11,23,2.58793306350708,121
193,11,11,24,0.7247793674468994,121
194,11,13,0,4.786433935165405,143
195,11,13,1,5.877152919769287,143
196,11,13,2,0.912055492401123,143
197,11,13,3,1.3473505973815918,143
198,11,13,4,1.456303596496582,143
199,11,13,5,4.862252235412598,143
200,11,13,6,0.7678499221801758,143
201,11,13,7,1.0732152462005615,143
202,11,13,8,0.8373675346374512,143
203,11,13,9,1.9161343574523926,143
204,11,13,10,2.2183403968811035,143
205,11,13,11,4.009233713150024,143
206,11,13,12,2.0388996601104736,143
207,11,13,13,1.7038822174072266,143
208,11,13,14,8.23586106300354,143
209,11,13,15,3.453632116317749,143
210,11,13,16,0.7150683403015137,143
211,11,13,17,1.4380590915679932,143
212,11,13,18,1.1173326969146729,143
213,11,13,19,0.3967890739440918,143
214,11,13,20,1.817807674407959,143
215,11,13,21,3.8556339740753174,143
216,11,13,22,1.3095018863677979,143
217,11,13,23,0.8845117092132568,143
218,11,13,24,1.3147618770599365,143
219,11,15,0,4.1516969203948975,165
220,11,15,1,2.6089625358581543,165
221,11,15,2,1.0844755172729492,165
222,11,15,3,2.9007017612457275,165
223,11,15,4,6.04513955116272,165
224,11,15,5,11.947361946105957,165
225,11,15,6,0.7269577980041504,165
226,11,15,7,5.859884262084961,165
227,11,15,8,14.123595952987671,165
228,11,15,9,1.0900330543518066,165
229,11,15,10,2.252384662628174,165
230,11,15,11,1.4697284698486328,165
231,11,15,12,0.6666076183319092,165
232,11,15,13,0.8612833023071289,165
233,11,15,14,2.2041091918945312,165
234,11,15,15,9.634521484375,165
235,11,15,16,1.8032114505767822,165
236,11,15,17,2.356775999069214,165
237,11,15,18,1.2712972164154053,165
238,11,15,19,2.5758352279663086,165
239,11,15,20,1.7544894218444824,165
240,11,15,21,6.080021619796753,165
241,11,15,22,6.654733419418335,165
242,11,15,23,10.05909776687622,165
243,11,15,24,8.125436067581177,165
244,11,17,0,2.554029703140259,187
245,11,17,1,1.573162317276001,187
246,11,17,2,17.732987642288208,187
247,11,17,3,6.8743743896484375,187
248,11,17,4,2.208725929260254,187
249,11,17,5,10.692768812179565,187
250,11,17,6,2.8991663455963135,187
251,11,17,7,9.936924457550049,187
252,11,17,8,1.290376901626587,187
253,11,17,9,3.2221903800964355,187
254,11,17,10,13.242202758789062,187
255,11,17,11,2.29085111618042,187
256,11,17,12,20.321584463119507,187
257,11,17,13,32.94602608680725,187
258,11,17,14,2.3946971893310547,187
259,11,17,15,4.273704528808594,187
260,11,17,16,1.2211437225341797,187
261,11,17,17,4.762731313705444,187
262,11,17,18,0.4702587127685547,187
263,11,17,19,7.32952618598938,187
264,11,17,20,0.5605716705322266,187
265,11,17,21,1.8825035095214844,187
266,11,17,22,2.2355618476867676,187
267,11,17,23,7.587955951690674,187
268,11,17,24,5.663046836853027,187
269,11,19,0,2.2807607650756836,209
270,11,19,1,5.160945415496826,209
271,11,19,2,5.376346826553345,209
272,11,19,3,123.84914994239807,209
273,11,19,4,2.984647035598755,209
274,11,19,5,17.04503345489502,209
275,11,19,6,1.3681986331939697,209
276,11,19,7,8.733459711074829,209
277,11,19,8,300.04273414611816,209
278,11,19,9,1.9226603507995605,209
279,11,19,10,11.05797553062439,209
280,11,19,11,1.2419195175170898,209
281,11,19,12,102.0257613658905,209
282,11,19,13,3.2542724609375,209
283,11,19,14,12.435449838638306,209
284,11,19,15,57.38717818260193,209
285,11,19,16,2.9668307304382324,209
286,11,19,17,2.6996407508850098,209
287,11,19,18,4.635079383850098,209
288,11,19,19,0.28469133377075195,209
289,11,19,20,9.658338069915771,209
290,11,19,21,26.683359622955322,209
291,11,19,22,5.212728977203369,209
292,11,19,23,115.90727257728577,209
293,11,19,24,1.2701401710510254,209
294,12,11,0,0.7338721752166748,132
295,12,11,1,2.112112045288086,132
296,12,11,2,4.888063669204712,132
297,12,11,3,2.636556625366211,132
298,12,11,4,1.7822082042694092,132
299,12,11,5,10.954026222229004,132
300,12,11,6,1.0951905250549316,132
301,12,11,7,3.878488540649414,132
302,12,11,8,4.512539386749268,132
303,12,11,9,3.1146936416625977,132
304,12,11,10,2.053950071334839,132
305,12,11,11,1.9008352756500244,132
306,12,11,12,1.0594255924224854,132
307,12,11,13,2.3019959926605225,132
308,12,11,14,1.9796299934387207,132
309,12,11,15,2.270033597946167,132
310,12,11,16,2.5273749828338623,132
311,12,11,17,1.0535967350006104,132
312,12,11,18,1.6066739559173584,132
313,12,11,19,3.1488289833068848,132
314,12,11,20,1.1192288398742676,132
315,12,11,21,9.022023439407349,132
316,12,11,22,2.5114729404449463,132
317,12,11,23,2.5002682209014893,132
318,12,11,24,1.1100599765777588,132
319,12,12,0,10.548622131347656,144
320,12,12,1,2.4972357749938965,144
321,12,12,2,1.3412461280822754,144
322,12,12,3,2.0152969360351562,144
323,12,12,4,1.678318738937378,144
324,12,12,5,3.0415737628936768,144
325,12,12,6,10.71280550956726,144
326,12,12,7,1.5599842071533203,144
327,12,12,8,6.37077784538269,144
328,12,12,9,1.8150129318237305,144
329,12,12,10,21.022614240646362,144
330,12,12,11,2.456770896911621,144
331,12,12,12,1.595627784729004,144
332,12,12,13,1.9997570514678955,144
333,12,12,14,3.424879550933838,144
334,12,12,15,1.358703374862671,144
335,12,12,16,2.1066901683807373,144
336,12,12,17,11.341846704483032,144
337,12,12,18,4.819970607757568,144
338,12,12,19,5.948788166046143,144
339,12,12,20,4.233538389205933,144
340,12,12,21,7.01887321472168,144
341,12,12,22,2.09452748298645,144
342,12,12,23,1.9956910610198975,144
343,12,12,24,9.063385725021362,144
344,13,12,0,2.6443958282470703,156
345,13,12,1,2.113886594772339,156
346,13,12,2,3.399275302886963,156
347,13,12,3,2.958195686340332,156
348,13,12,4,3.563101291656494,156
349,13,12,5,3.9006028175354004,156
350,13,12,6,19.11198878288269,156
351,13,12,7,3.4422459602355957,156
352,13,12,8,1.4191792011260986,156
353,13,12,9,2.9535157680511475,156
354,13,12,10,10.057357788085938,156
355,13,12,11,5.28294038772583,156
356,13,12,12,7.761016130447388,156
357,13,12,13,4.386261701583862,156
358,13,12,14,4.090717554092407,156
359,13,12,15,10.324575662612915,156
360,13,12,16,2.1308982372283936,156
361,13,12,17,1.4701502323150635,156
362,13,12,18,4.9459779262542725,156
363,13,12,19,3.974128484725952,156
364,13,12,20,2.5227670669555664,156
365,13,12,21,2.1180269718170166,156
366,13,12,22,27.57056736946106,156
367,13,12,23,62.84735107421875,156
368,13,12,24,2.197486400604248,156
369,13,13,0,6.03577995300293,169
370,13,13,1,5.907979965209961,169
371,13,13,2,2.1154444217681885,169
372,13,13,3,22.235079526901245,169
373,13,13,4,3.541203737258911,169
374,13,13,5,1.7101178169250488,169
375,13,13,6,2.688100814819336,169
376,13,13,7,2.529520273208618,169
377,13,13,8,3.622070074081421,169
378,13,13,9,3.056823253631592,169
379,13,13,10,3.8376872539520264,169
380,13,13,11,1.7094039916992188,169
381,13,13,12,6.535738945007324,169
382,13,13,13,1.5751245021820068,169
383,13,13,14,2.1561717987060547,169
384,13,13,15,3.8232197761535645,169
385,13,13,16,15.77839207649231,169
386,13,13,17,4.4123375415802,169
387,13,13,18,11.286195278167725,169
388,13,13,19,4.376786947250366,169
389,13,13,20,2.2437233924865723,169
390,13,13,21,4.480156898498535,169
391,13,13,22,3.220629930496216,169
392,13,13,23,5.0285804271698,169
393,13,13,24,4.3163652420043945,169
394,14,13,0,40.39598107337952,182
395,14,13,1,146.91234803199768,182
396,14,13,2,2.879756450653076,182
397,14,13,3,5.207205533981323,182
398,14,13,4,104.54456686973572,182
399,14,13,5,1.572174072265625,182
400,14,13,6,2.6551759243011475,182
401,14,13,7,121.92277884483337,182
402,14,13,8,2.574634075164795,182
403,14,13,9,48.04085421562195,182
404,14,13,10,2.3349945545196533,182
405,14,13,11,3.405386209487915,182
406,14,13,12,2.362645149230957,182
407,14,13,13,300.0686857700348,182
408,14,13,14,6.891584873199463,182
409,14,13,15,5.230194568634033,182
410,14,13,16,5.31406044960022,182
411,14,13,17,3.6151275634765625,182
412,14,13,18,2.3870770931243896,182
413,14,13,19,9.630235433578491,182
414,14,13,20,35.992647886276245,182
415,14,13,21,300.0594222545624,182
416,14,13,22,1.7298967838287354,182
417,14,13,23,1.9725005626678467,182
418,14,13,24,5.499738693237305,182
